0.096	4	4	3	2	1	0	0	1	0	1	2	4	2	3	1	1	1	2	1	2	1	1	1	1	3	4	2	3	8	11	4	4	2	3	4	3	2	0	0	2	2	0	1	2	3	2	4	1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	3	3	0	1	2
0.104	6	4	7	0	1	1	1	1	1	1	0	0	2	0	1	1	1	2	2	3	1	3	3	3	4	2	5	4	8	6	11	3	4	5	1	3	4	1	3	0	0	0	2	0	0	0	1	2	1	0	3	2	0	0	1	0	0	0	2	0	0	0	1	1	1	0	0	0	1	0	2	0	3	1	1	0	1	2	0
0.112	3	0	2	1	0	3	3	1	1	1	2	2	2	0	0	3	1	5	0	0	0	3	4	4	6	6	7	2	7	5	5	9	4	1	0	1	4	3	4	2	4	2	1	1	3	2	1	3	2	1	0	1	0	3	0	0	1	0	2	1	0	0	1	1	0	1	0	1	2	1	1	1	0	2	2	1	1	0	2
0.12	2	4	2	1	1	0	0	0	0	0	0	2	0	0	2	0	2	0	1	2	1	1	2	3	3	6	2	4	9	7	4	8	8	4	10	3	2	1	2	1	1	1	1	2	3	2	1	1	1	2	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	3
0.128	5	4	1	1	1	1	1	2	0	0	1	1	3	0	0	1	2	4	2	1	0	4	3	1	0	5	8	8	7	5	4	6	6	4	4	1	4	0	2	1	3	0	1	1	1	1	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	1	0	0	3	1	1	1	1	0
0.136	7	3	7	1	1	0	0	0	1	0	1	0	1	1	1	3	0	1	3	1	0	0	3	3	2	4	3	4	6	4	7	8	6	6	5	6	2	3	2	1	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	3	0	2	0	1	3	2	2	2	0	0	0	0	0	0	1	1	0	0
0.144	6	5	2	3	3	1	0	1	4	3	2	0	3	1	3	4	0	1	2	1	1	0	3	1	0	8	4	5	8	2	4	5	4	3	0	3	1	2	2	1	0	2	3	0	2	0	1	3	0	0	1	1	1	0	0	1	0	0	1	0	2	1	0	0	1	0	1	0	1	1	1	0	1	1	0	1	1	1	0
0.152	1	3	5	1	0	0	1	0	1	1	4	1	0	1	0	1	0	1	0	3	0	1	1	3	3	5	6	4	2	5	11	6	2	6	4	5	1	2	3	2	1	1	0	1	2	1	0	0	1	1	0	1	0	1	0	0	0	1	1	0	2	2	1	0	0	1	1	1	2	0	0	0	1	0	0	1	1	0	1
0.16	2	4	4	1	1	2	1	0	1	0	1	2	3	0	1	3	0	1	0	0	3	1	3	2	3	2	4	3	5	2	5	7	3	4	6	3	1	2	1	3	2	2	0	1	1	2	0	0	0	1	0	2	0	0	0	2	0	0	0	0	2	1	1	1	2	0	0	1	0	1	1	0	0	0	0	0	1	0	1
0.168	1	4	4	1	1	0	0	0	2	1	3	1	2	3	4	1	2	0	2	3	1	4	3	2	3	4	5	3	4	6	5	7	6	3	4	0	3	5	1	1	1	2	0	2	0	0	0	0	2	1	1	1	0	1	0	0	0	0	2	0	1	0	1	0	1	1	1	2	0	2	1	0	1	0	0	0	2	1	2
0.176	5	3	2	2	3	0	1	0	0	2	1	1	3	0	4	4	1	1	0	2	0	1	2	0	3	2	5	8	8	4	3	8	7	5	6	6	2	1	3	2	1	2	2	0	2	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	3	0	0	1	1	4	0	0	1	2	2	1	0	1	0	1	1	1
0.184	10	3	4	3	1	0	2	1	0	0	0	0	1	3	0	2	1	3	0	1	1	2	1	3	2	3	3	4	5	6	3	2	6	2	8	1	1	3	2	0	1	0	3	3	1	3	0	1	1	1	1	1	2	0	1	1	0	1	3	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1
